"SAMPLE","ARRAY","INCLUDED IN AUTHORS' PIPELINE?","INCLUDED IN JENNY'S PIPELINE?","DISCREPANCY"
"AB521-T","3999844060_H","YES","YES",""
"AB521M-T","3999888024_H","YES","YES",""
"AB521M-TR","3999844061_B","YES","YES",""
"AB521M-X1R","3999844060_I","YES","NO","*"
"AB521M-X1","3999305070_K","YES","YES",""
"AB521M-X1R1","3999305070_D","YES","YES",""
"AB521M-XC7","3999844058_K","YES","YES",""
"AB551-T","9978099057_H","YES","YES",""
"AB551-TR","3999888024_E","YES","YES",""
"AB551-X0R","3999844058_A","YES","YES",""
"AB551-X1","9978099033_F","YES","YES",""
"AB551-X1C7","3999888024_C","YES","YES",""
"AB555-T","3999844058_L","YES","NO","*"
"AB555-X0","3999844060_K","YES","YES",""
"AB559-T","3999844061_C","YES","YES",""
"AB559-X1","3999844061_J","YES","YES",""
"AB559-X2","3999844061_I","YES","NO","*"
"AB559-X2R","3999844058_F","YES","NO","*"
"AB580-T","3999305070_C","YES","YES",""
"AB580-X0","3999844060_C","YES","YES",""
"AB582-T","3999305070_F","YES","YES",""
"AB630-T","3999844060_E","YES","YES",""
"AB630-X0","3999844061_K","YES","YES",""
"HCI001-X0","9347469080_H","YES","YES",""
"HCI001-X0R","9347469080_K","YES","YES",""
"HCI001-X3","9534190024_H","YES","YES",""
"HCI001-X3C7","3999888024_B","YES","YES",""
"HCI001-X4","9534190003_D","YES","YES",""
"HCI001-X5","9347469080_D","YES","YES",""
"HCI001-X5R","9347469080_A","YES","YES",""
"HCI002-X0","9371160044_C","YES","YES",""
"HCI002-X0R","9371160044_G","YES","YES",""
"HCI002-X2","9534190015_K","YES","YES",""
"HCI002-X3R","9371160044_A","YES","YES",""
"HCI002-X4C7","3999305070_B","YES","YES",""
"HCI002-X6","9534190003_L","YES","YES",""
"HCI002-X6R","9978099057_B","YES","YES",""
"HCI004-X1","9347469072_K","YES","YES",""
"HCI004-X1R","9347469072_E","YES","YES",""
"HCI004-X2","3999844060_B","YES","YES",""
"HCI004-X2R","3999844061_E","YES","YES",""
"HCI004-X3","9534190024_F","YES","YES",""
"HCI004-X4","3999844058_E","YES","YES",""
"HCI005-X2","9534190003_G","YES","YES",""
"HCI005-X2R","9978099054_B","YES","YES",""
